Entity,Types,Author,URL,Publish date
“Detoxes” and “Cleanses” - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/detoxes-and-cleanses-what-you-need-to-know,2019-09-01
5-HTP - MedlinePlus,Article,MedlinePlus,https://medlineplus.gov/druginfo/natural/794.html,2022-04-02
Acai - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/acai,2020-08-01
Acidophilus - Mayo Clinic,Article,Mayo Clinic,https://www.mayoclinic.org/drugs-supplements-acidophilus/art-20361967,2020-11-18
Activated Charcoal - MedlinePlus,Article,MedlinePlus,https://medlineplus.gov/druginfo/natural/269.html,2022-08-04
Acupuncture - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/acupuncture-in-depth,2016-01-01
ADHD - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/attention-deficit-hyperactivity-disorder-at-a-glance,2019-05-01
Aerobic exercise - FoundMyFitness,Article,FoundMyFitness,https://www.foundmyfitness.com/topics/aerobic-exercise,2022-08-10
Alfalfa - MedlinePlus,Article,MedlinePlus,https://medlineplus.gov/druginfo/natural/19.html,2021-09-24
Aloe - Mayo Clinic,Article,Mayo Clinic,https://www.mayoclinic.org/drugs-supplements-aloe/art-20362267,2020-11-18
Aloe Vera - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/aloe-vera,2020-08-01
Alpha-Lipoic Acid - MedlinePlus,Article,MedlinePlus,https://medlineplus.gov/druginfo/natural/767.html,2022-05-16
Alzheimer’s Disease - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/alzheimers-disease-at-a-glance,2019-06-01
American Ginseng - MedlinePlus,Article,MedlinePlus,https://medlineplus.gov/druginfo/natural/967.html,2021-10-26
Antioxidants - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/antioxidants-in-depth,2013-11-01
Anxiety - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/anxiety-at-a-glance,2018-12-01
Apple Cider Vinegar - MedlinePlus,Article,MedlinePlus,https://medlineplus.gov/druginfo/natural/816.html,2022-04-14
Arnica - MedlinePlus,Article,MedlinePlus,https://medlineplus.gov/druginfo/natural/721.html,2021-07-21
Aromatherapy - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/aromatherapy,2020-01-01
Ashwagandha - MedlinePlus,Article,MedlinePlus,https://medlineplus.gov/druginfo/natural/953.html,2022-08-02
Asian Ginseng - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/asian-ginseng,2020-08-01
Asthma - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/asthma-and-complementary-health-approaches-what-you-need-to-know,2022-03-01
Astragalus - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/astragalus,2020-08-01
Autism - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/autism,2017-07-01
