ID,,TEXT,Types,Related to,Is about,Is about,Is about,Author
,,"The nation is currently facing one of the most severe affordable housing crises in history. Not surprisingly, those living in poverty are the most significantly affected.",Claim,There is not enough affordable housing,Big picture,Housing,,The National Alliance to End Homelessness
,,"But by the mid-1980s, the supply of low-cost housing had shrunk significantly. Since then, rents have continued to rise and lower-income people in particular have experienced slow or stagnant wage growth..",Claim,There is not enough affordable housing,Big picture,Housing,,The National Alliance to End Homelessness
,,"The solution to homelessness is straightforward: housing. By connecting people experiencing homelessness to housing and services, they have a platform from which they can address other areas that may have contributed to their homelessness — such as employment, health, and substance abuse.",Claim,,Big picture,Housing,,The National Alliance to End Homelessness
,,"Housing model. Permanent supportive housing: Permanent supportive housing pairs long-term rental assistance with supportive services. It is targeted to individuals and families with chronic illnesses, disabilities, mental health issues, or substance use disorders who have experienced long-term or repeated homelessness.",Claim,Provide additional support on top of housing homeless people,Permanent supportive housing,Housing,Description,The National Alliance to End Homelessness
,,"<Housing Model>. Rapid re-housing provides short-term rental assistance and services. The goals are to help people obtain housing quickly, increase self-sufficiency, and stay housed.+",Claim,,Rapid re-housing,Housing,Description,The National Alliance to End Homelessness
,,"Administered by HUD, public housing and voucher programs provide decent and safe affordable housing for low-income people and play a critical role in reducing homelessness.",Claim,Rent public housing and issue housing vouchers to homeless people,Housing,Housing,,The National Alliance to End Homelessness
,,Housing Choice Voucher Program (commonly known as “Section 8“) has become the dominant form of federal housing assistance,Claim,,Housing,Housing,Housing vouchers,The National Alliance to End Homelessness
,,"The program, which provides vouchers to low-income households to help them pay for housing in the private market, has been found to sharply reduce homelessness.",Claim,,Housing,Housing,Housing vouchers,The National Alliance to End Homelessness
,,"Public housing is federally-funded housing that is rented at subsidized rates to eligible low-income families, the elderly, and persons with disabilities.",Claim,Rent public housing and issue housing vouchers to homeless people,Public housing,Housing,Description,The National Alliance to End Homelessness
,,"While both public housing and housing vouchers are proven to end homelessness, only one in four households that are eligible for such assistance receive it due to lack of funding.",Claim,There is not enough funding for proven homelessness solutions,Housing,Housing,,The National Alliance to End Homelessness
,,"In many places across America, there is simply not enough available affordable housing. Without this housing stock, many homeless Americans are likely to continue to cycle in and out of homelessness.",Claim,There is not enough affordable housing,Big picture,Housinh,,The National Alliance to End Homelessness
,,"The priority now must be to expand the supply of affordable housing. To do this, there is a need to increase HUD’s ability to serve and house low-income individuals.",Claim,Build more affordable housing,Housing,Housing,,The National Alliance to End Homelessness
,,"Low-income households are typically unemployed or underemployed due to a number of factors, such as a challenging labor market; limited education; a gap in work history; a criminal record; unreliable transportation or unstable housing; poor health or a disability.",Claim,,Employment,,,The National Alliance to End Homelessness
,,"For those who are low-income but employed, wages have been stagnant and have not kept pace with expensive housing costs. The typical American worker has seen little to no growth in his/her weekly wages over the past three decades. Too little income combined with the dwindling availability of low-cost housing leaves many people at risk for becoming homeless.",Claim,There is not enough affordable housing,Housing,,,The National Alliance to End Homelessness
,,Those who are homeless face significant obstacles to finding and maintaining employment.,Claim,,Big picture,,,The National Alliance to End Homelessness
,,"Job training and placement programs, such as those funded by the federal government, also provide the tools some people need to secure stable, long-term employment",Claim,,Employment,Job training,,The National Alliance to End Homelessness
,,"Improving access to supportive services, such as childcare subsidies and transportation assistance, would also go a long way in helping people stay employed, achieve housing stability and remain housed.",Claim,Provide additional support on top of housing homeless people,Housing,,,The National Alliance to End Homelessness
,,"Many of those who experience homelessness are unable to work due to a disability, or are not able to quickly earn the money they need for rent",Claim,,Big picture,,,The National Alliance to End Homelessness
