Entity,Types,Source
Fluorouracil (5-FU) is a chemotherapy medication used to treat a variety of cancers. It works by inhibiting the synthesis of DNA.,Description,GPT-3
5-HTP is a naturally occurring amino acid and chemical precursor to the neurotransmitter serotonin. 5-HTP is used as a dietary supplement to promote serotonin production and balance serotonin levels in the brain.,Description,GPT-3
"The definition of absorption is the process of taking in or soaking up something, such as light or sound.",Description,GPT-3
"The acai berry is a small, dark purple fruit that grows on acai palm trees in the rainforests of Central and South America. The acai berry has been traditionally used for its medicinal properties.",Description,GPT-3
"ACE inhibitors are a class of drugs used to treat high blood pressure, heart failure, and other cardiovascular conditions. They work by blocking the action of ACE, a substance in the body that promotes the constriction of blood vessels.",Description,GPT-3
Acebutolol is a beta blocker that is used to treat high blood pressure and other heart conditions. It works by blocking the action of certain chemicals in the body that can cause the heart to beat too fast or irregularly.,Description,GPT-3
Acetaminophen is a pain reliever and a fever reducer.,Description,GPT-3
"Acetazolamide is a medication used to treat glaucoma, epilepsy, and altitude sickness. It is a carbonic anhydrase inhibitor, which means it works by preventing the body from producing carbonic acid.",Description,GPT-3
Acetyl CoA is a molecule that is produced when glucose is broken down in the body. It is used in the production of energy in the body.,Description,GPT-3
Acetylcholine is a neurotransmitter that is involved in the transmission of nerve impulses.,Description,GPT-3
Acidophilus is a type of bacteria that is found in the digestive system. It is important for keeping the digestive system healthy and preventing the growth of harmful bacteria.,Description,GPT-3
Acne is a skin condition that causes pimples or blackheads.,Description,GPT-3
"Acorn squash is a type of winter squash that is shaped like an acorn. It has a dark green or orange skin and a sweet, nutty flavor.",Description,GPT-3
Activated charcoal is a type of carbon that has been treated with oxygen to open up millions of tiny pores between the carbon atoms.,Description,GPT-3
Actos is a medication used to treat type 2 diabetes. It works by helping the body to better use insulin.,Description,GPT-3
Acupressure is a form of alternative medicine that uses physical pressure on specific points on the body to relieve pain.,Description,GPT-3
Acupuncture is a form of alternative medicine in which thin needles are inserted into the body. It is a key component of traditional Chinese medicine.,Description,GPT-3
"Acute diarrhea is a sudden, severe case of diarrhea that lasts for a short time.",Description,GPT-3
Adderall is a central nervous system stimulant medication used to treat attention deficit hyperactivity disorder (ADHD) and narcolepsy.,Description,GPT-3
"This Addiction health condition is characterized by a strong and persistent urge to use a substance, despite its harmful effects.",Description,GPT-3
Adenocard is a brand name for the medication adenosine. It is a prescription medication used to treat certain types of irregular heart rhythms.,Description,GPT-3
