Entity,Types,Authored by,Contributed by,Name,Podcast,URL,Publish date
Wim Hof (the Iceman) on Defeating Extreme Cold & Attenuating the Immune Response,Podcast episode,Dr. Rhonda Patrick,Wim Hof,Wim Hof (the Iceman) on Defeating Extreme Cold & Attenuating the Immune Response,Found My Fitness,https://www.foundmyfitness.com/episodes/wim-hof,2015-10-22
"#067 Dr. Ashley Mason on Drug-free Approaches for Treating Depression, Insomnia, and Overeating",Podcast episode,Dr. Rhonda Patrick,Dr. Ashley Mason,"#067 Dr. Ashley Mason on Drug-free Approaches for Treating Depression, Insomnia, and Overeating",Found My Fitness,https://podcasts.apple.com/us/podcast/067-dr-ashley-mason-on-drug-free-approaches-for-treating/id818198322?i=1000534138393,2021-09-02
How Your Brain Works & Changes,Podcast episode,Dr. Andrew Huberman,,How Your Brain Works & Changes,Huberman Lab,https://hubermanlab.com/how-your-nervous-system-works-and-changes/,2021-01-04
Understanding and Using Dreams to Learn and to Forget,Podcast episode,Dr. Andrew Huberman,,Understanding and Using Dreams to Learn and to Forget,Huberman Lab,https://hubermanlab.com/understanding-and-using-dreams-to-learn-and-to-forget/,2021-02-01
Optimize Your Learning & Creativity with Science-based Tools,Podcast episode,Dr. Andrew Huberman,,Optimize Your Learning & Creativity with Science-based Tools,Huberman Lab,https://hubermanlab.com/optimize-your-learning-and-creativity-with-science-based-tools/,2021-02-22
Control Pain & Heal Faster with Your Brain,Podcast episode,Dr. Andrew Huberman,,Control Pain & Heal Faster with Your Brain,Huberman Lab,https://hubermanlab.com/control-pain-and-heal-faster-with-your-brain/,2021-03-01
Master Stress: Tools for Managing Stress & Anxiety,Podcast episode,Dr. Andrew Huberman,,Master Stress: Tools for Managing Stress & Anxiety,Huberman Lab,https://hubermanlab.com/tools-for-managing-stress-and-anxiety/,2021-03-08
How to Increase Motivation & Drive,Podcast episode,Dr. Andrew Huberman,,How to Increase Motivation & Drive,Huberman Lab,https://hubermanlab.com/how-to-increase-motivation-and-drive/,2021-03-22
The Science of How to Optimize Testosterone & Estrogen,Podcast episode,Dr. Andrew Huberman,,The Science of How to Optimize Testosterone & Estrogen,Huberman Lab,https://hubermanlab.com/the-science-of-how-to-optimize-testosterone-and-estrogen/,2021-04-12
The Science of Sexual Development,Podcast episode,Dr. Andrew Huberman,,The Science of Sexual Development,Huberman Lab,https://hubermanlab.com/biological-influences-on-sex-sex-differences-and-preferences/,2021-04-05
"How Our Hormones Control Our Hunger, Eating & Satiety",Podcast episode,Dr. Andrew Huberman,,"How Our Hormones Control Our Hunger, Eating & Satiety",Huberman Lab,https://hubermanlab.com/how-our-hormones-control-our-hunger-eating-and-satiety/,2021-04-19
How to Control Your Metabolism by Thyroid & Growth Hormone,Podcast episode,Dr. Andrew Huberman,,How to Control Your Metabolism by Thyroid & Growth Hormone,Huberman Lab,https://hubermanlab.com/how-to-control-your-metabolism-by-thyroid-and-growth-hormone/,2021-04-26
"Science & Tools For Muscle Growth, Increasing Strength & Muscular Recovery",Podcast episode,Dr. Andrew Huberman,,"Science & Tools For Muscle Growth, Increasing Strength & Muscular Recovery",Huberman Lab,https://hubermanlab.com/science-of-muscle-growth-increasing-strength-and-muscular-recovery/,2021-05-31
How To Build Endurance In Your Brain & Body,Podcast episode,Dr. Andrew Huberman,,How To Build Endurance In Your Brain & Body,Huberman Lab,https://hubermanlab.com/how-to-build-endurance-in-your-brain-and-body/,2021-06-07
"The Science of Vision, Eye Health & Seeing Better",Podcast episode,Dr. Andrew Huberman,,"The Science of Vision, Eye Health & Seeing Better",Huberman Lab,https://hubermanlab.com/the-science-of-vision-eye-health-and-seeing-better/,2021-06-14
Dr. Karl Deisseroth: Understanding & Healing the Mind,Podcast episode,Dr. Andrew Huberman,Dr. Karl Deisseroth,Dr. Karl Deisseroth: Understanding & Healing the Mind,Huberman Lab,https://hubermanlab.com/karl-deisseroth-understanding-and-healing-the-mind/,2021-06-28
"The Science of Hearing, Balance & Accelerated Learning",Podcast episode,Dr. Andrew Huberman,,"The Science of Hearing, Balance & Accelerated Learning",Huberman Lab,https://hubermanlab.com/the-science-of-hearing-balance-and-accelerated-learning/,2021-07-05
"Exercise, Heat, Cold & Other Stressors for Longevity",Podcast episode,Dr. David Sinclair,Matthew LaPlante,"Exercise, Heat, Cold & Other Stressors for Longevity",Lifespan with Dr. David Sinclair,https://www.lifespanpodcast.com/exercise-heat-cold-and-other-stressors-for-longevity/,2022-01-19
"How to Optimize Your Brain-Body Function & Health",Podcast episode,Dr. Andrew Huberman,,How to Optimize Your Brain-Body Function & Health,Huberman Lab,https://hubermanlab.com/how-to-optimize-your-brain-body-function-and-health/,2021-07-26
Dr. Matthew Walker: The Science & Practice of Perfecting Your Sleep,Podcast episode,Dr. Andrew Huberman,Dr. Matthew Walker,Dr. Matthew Walker: The Science & Practice of Perfecting Your Sleep,Huberman Lab,https://hubermanlab.com/dr-matthew-walker-the-science-and-practice-of-perfecting-your-sleep/,2021-08-02
Dr. Anna Lembke: Understanding & Treating Addiction,Podcast episode,Dr. Andrew Huberman,,Dr. Anna Lembke: Understanding & Treating Addiction,Huberman Lab,https://hubermanlab.com/dr-anna-lembke-understanding-and-treating-addiction/,2021-08-16
Understanding & Conquering Depression,Podcast episode,Dr. Andrew Huberman,,Understanding & Conquering Depression,Huberman Lab,https://hubermanlab.com/understanding-and-conquering-depression/,2021-08-23
"Healthy Eating & Eating Disorders – Anorexia, Bulimia, Binging",Podcast episode,Dr. Andrew Huberman,,"Healthy Eating & Eating Disorders – Anorexia, Bulimia, Binging",Huberman Lab,https://hubermanlab.com/healthy-eating-and-eating-disorders-anorexia-bulimia-binging/,2021-09-06
ADHD & How Anyone Can Improve Their Focus,Podcast episode,Dr. Andrew Huberman,,ADHD & How Anyone Can Improve Their Focus,Huberman Lab,https://hubermanlab.com/adhd-and-how-anyone-can-improve-their-focus/,2021-09-13
Dr. Matthew Johnson: Psychedelics for Treating Mental Disorders,Podcast episode,Dr. Andrew Huberman,Dr. Matthew Johnson,Dr. Matthew Johnson: Psychedelics for Treating Mental Disorders,Huberman Lab,https://hubermanlab.com/dr-matthew-johnson-psychedelic-medicine/,2021-09-20
"Controlling Your Dopamine For Motivation, Focus & Satisfaction",Podcast episode,Dr. Andrew Huberman,,"Controlling Your Dopamine For Motivation, Focus & Satisfaction",Huberman Lab,https://hubermanlab.com/controlling-your-dopamine-for-motivation-focus-and-satisfaction/,2021-09-27
"NMN, NR, Resveratrol, Metformin & Other Molecules for Longevity",Podcast episode,Dr. David Sinclair,Matthew LaPlante,"NMN, NR, Resveratrol, Metformin & Other Molecules for Longevity",Lifespan with Dr. David Sinclair,https://www.lifespanpodcast.com/nmn-nr-resveratrol-metformin-and-other-molecules-for-longevity/,2022-01-26
"Dr. Craig Heller: Using Temperature for Performance, Brain & Body Health",Podcast episode,Dr. Andrew Huberman,Dr. Craig Heller,"Dr. Craig Heller: Using Temperature for Performance, Brain & Body Health",Huberman Lab,https://hubermanlab.com/dr-craig-heller-using-temperature-for-performance-brain-and-body-health/,2021-10-04
Effects of Fasting & Time Restricted Eating on Fat Loss & Health,Podcast episode,Dr. Andrew Huberman,,Effects of Fasting & Time Restricted Eating on Fat Loss & Health,Huberman Lab,https://hubermanlab.com/effects-of-fasting-and-time-restricted-eating-on-fat-loss-and-health/,2021-10-11
Nutrients For Brain Health & Performance,Podcast episode,Dr. Andrew Huberman,,Nutrients For Brain Health & Performance,Huberman Lab,https://hubermanlab.com/nutrients-for-brain-health-and-performance/,2021-10-18
"Dr. Samer Hattar: Timing Light, Food, & Exercise for Better Sleep, Energy & Mood",Podcast episode,Dr. Andrew Huberman,Dr. Samer Hattar,"Dr. Samer Hattar: Timing Light, Food, & Exercise for Better Sleep, Energy & Mood",Huberman Lab,https://hubermanlab.com/dr-samer-hattar-timing-light-food-exercise-for-better-sleep-energy-mood/,2021-10-25
Using Your Nervous System to Enhance Your Immune System,Podcast episode,Dr. Andrew Huberman,,Using Your Nervous System to Enhance Your Immune System,Huberman Lab,https://hubermanlab.com/using-your-nervous-system-to-enhance-your-immune-system/,2021-11-01
