Entity,Types,Name,Author,URL,Publish date,Podcast,Podcast episode
#017 Wim Hof (The Iceman) On Defeating Extreme Cold & Attenuating The Immune Response | Found My Fitness With Dr. Rhonda Patrick,Summary,#017 Wim Hof (The Iceman) On Defeating Extreme Cold & Attenuating The Immune Response | Found My Fitness With Dr. Rhonda Patrick,Podcast Notes,https://podcastnotes.org/found-my-fitness/017-wim-hof-the-iceman-on-defeating-extreme-cold-attenuating-the-immune-response-found-my-fitness-with-dr-rhonda-patrick/,2021-08-20,,Wim Hof (the Iceman) on Defeating Extreme Cold & Attenuating the Immune Response
"#067 Dr. Ashley Mason On Drug-Free Approaches For Treating Depression, Insomnia, And Overeating | Found My Fitness With Dr. Rhonda Patrick",Summary,"#067 Dr. Ashley Mason On Drug-Free Approaches For Treating Depression, Insomnia, And Overeating | Found My Fitness With Dr. Rhonda Patrick",Podcast Notes,https://podcastnotes.org/found-my-fitness/067-dr-ashley-mason-on-drug-free-approaches-for-treating-depression-insomnia-and-overeating-found-my-fitness-with-dr-rhonda-patrick/,2021-09-07,,"#67 Dr. Ashley Mason on Sauna Use for Depression, Conquering Insomnia, and Mindfully Breaking Bad Habits"
Andrew Huberman’s Sleep Cocktail / Routine,Summary,Andrew Huberman’s Sleep Cocktail / Routine,Podcast Notes,https://podcastnotes.org/huberman-lab/huberman-sleep-cocktail/,2022-03-24,Huberman Lab,
Episode 01: How Your Brain Works & Changes | Huberman Lab,Summary,Episode 01: How Your Brain Works & Changes | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/how-your-brain-works-changes-huberman-lab/,2021-01-29,,How Your Brain Works & Changes
Episode 05: Understanding And Using Dreams To Learn And To Forget| Huberman Lab,Summary,Episode 05: Understanding And Using Dreams To Learn And To Forget| Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/understanding-and-using-dreams-to-learn-and-to-forget-huberman-lab/,2021-02-07,,Understanding and Using Dreams to Learn and to Forget
Episode 08: Optimize Your Brain With Science-Based Tools | Huberman Lab,Summary,Episode 08: Optimize Your Brain With Science-Based Tools | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/optimize-your-brain-with-science-based-tools-huberman-lab/,2021-02-24,,Optimize Your Learning & Creativity with Science-based Tools
Episode 09: Control Pain & Heal Faster With Your Brain | Huberman Lab,Summary,Episode 09: Control Pain & Heal Faster With Your Brain | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/control-pain-heal-faster-with-your-brain-huberman-lab/,2021-03-04,,Control Pain & Heal Faster with Your Brain
Episode 10: Master Stress: Tools For Managing Stress & Anxiety | Huberman Lab,Summary,Episode 10: Master Stress: Tools For Managing Stress & Anxiety | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/master-stress-tools-for-managing-stress-anxiety-episode-10-huberman-lab/,2021-03-11,,Master Stress: Tools for Managing Stress & Anxiety
Episode 12: How To Increase Motivation & Drive | Huberman Lab,Summary,Episode 12: How To Increase Motivation & Drive | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-12-how-to-increase-motivation-drive-huberman-lab/,2021-03-25,,How to Increase Motivation & Drive
Episode 15: How To Optimize Testosterone & Estrogen | Huberman Lab,Summary,Episode 15: How To Optimize Testosterone & Estrogen | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-14-how-to-optimize-testosterone-estrogen-huberman-lab/,2021-04-21,,The Science of How to Optimize Testosterone & Estrogen
Episode 14: The Science Of Sexual Development | Huberman Lab,Summary,Episode 14: The Science Of Sexual Development | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-14-the-science-of-sexual-development-huberman-lab/,2021-04-08,,The Science of Sexual Development
"Episode 16: How Hormones Control Hunger, Eating & Satiety | Huberman Lab",Summary,"Episode 16: How Hormones Control Hunger, Eating & Satiety | Huberman Lab",Podcast Notes,https://podcastnotes.org/huberman-lab/episode-16-how-hormones-control-hunger-eating-satiety-huberman-lab/,2021-04-22,,"How Our Hormones Control Our Hunger, Eating & Satiety"
Episode 17: How To Control Your Metabolism By Thyroid & Growth Hormones | Huberman Lab,Summary,Episode 17: How To Control Your Metabolism By Thyroid & Growth Hormones | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-17-how-to-control-your-metabolism-by-thyroid-growth-hormones-huberman-lab/,2021-04-28,,How to Control Your Metabolism by Thyroid & Growth Hormone
"Episode 22: Science & Tools For Muscle Growth, Increasing Strength & Muscular Recovery | Huberman Lab",Summary,"Episode 22: Science & Tools For Muscle Growth, Increasing Strength & Muscular Recovery | Huberman Lab",Podcast Notes,https://podcastnotes.org/huberman-lab/episode-22-science-tools-for-muscle-growth-increasing-strength-muscular-recovery-huberman-lab/,2021-06-04,,"Science & Tools For Muscle Growth, Increasing Strength & Muscular Recovery"
Episode 23: How To Build Endurance In Your Brain & Body | Huberman Lab,Summary,Episode 23: How To Build Endurance In Your Brain & Body | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-23-how-to-build-endurance-in-your-brain-body-huberman-lab/,2021-06-10,,How To Build Endurance In Your Brain & Body
