Name,Types,Url,Description,Authored by,URL
Housing - National Alliance to End Homelessness,Article,https://endhomelessness.org/homelessness-in-america/what-Cause-homelessness/housing/,,,
Health - National Alliance to End Homelessness,Article,https://endhomelessness.org/homelessness-in-america/what-Cause-homelessness/health/,,,
Domestic Violence - National Alliance to End Homelessness,Article,https://endhomelessness.org/homelessness-in-america/what-Cause-homelessness/domestic-violence/,,,
State of Homelessness: 2022 Edition - National Alliance to End Homelessness,Article,https://endhomelessness.org/homelessness-in-america/homelessness-statistics/state-of-homelessness/,,,
Creating Systems That Work - National Alliance to End Homelessness,Article,https://endhomelessness.org/ending-homelessness/solutions/creating-systems-that-work/,,,
Rapid Re-Housing - National Alliance to End Homelessness,Article,https://endhomelessness.org/ending-homelessness/solutions/rapid-re-housing/,,,
Permanent Supportive Housing - National Alliance to End Homelessness,Article,https://endhomelessness.org/ending-homelessness/solutions/permanent-supportive-housing/,,,
Crisis Response - National Alliance to End Homelessness,Article,https://endhomelessness.org/ending-homelessness/solutions/crisis-response/,,,
Income Opportunity & Services - National Alliance to End Homelessness,Article,https://endhomelessness.org/ending-homelessness/solutions/income/,,,
Housing-Based Solutions - Coalition for the Homeless,Article,https://www.coalitionforthehomeless.org/proven-solutions/,,,
Prevention & Stability - National Alliance to End Homelessness,Article,https://www.coalitionforthehomeless.org/proven-solutions/,,,
Myths and Facts - Coalition for the Homeless,Article,https://www.coalitionforthehomeless.org/myths-and-facts/,,,
Landlord Engagement - USICH,Article,https://www.usich.gov/solutions/housing/landlord-engagement/,,,
Identification and Engagement - USICH,Article,https://www.usich.gov/solutions/crisis-response/identification-and-engagement/,,,
Coordinated Entry - USICH,Article,https://www.usich.gov/solutions/crisis-response/coordinated-entry/,,,
Deploy Housing First Systemwide - USICH,Article,https://www.usich.gov/solutions/housing/housing-first/,,,
Affordable Housing - USICH,Article,https://www.usich.gov/solutions/housing/affordable-housing/,,,
Rapid Re-Housing - USICH,Article,https://www.usich.gov/solutions/housing/rapid-re-housing/,,,
Federal Resources That Can Fund Rapid Re-Housing Ending Family Homelessness - USICH,Article,https://www.usich.gov/resources/uploads/asset_library/Federal_Funding_Sources_RRH.pdf,,,
Supportive Housing - USICH,Article,https://www.usich.gov/solutions/housing/supportive-housing/,,,
"Partnering With Hospitals to End Homelessness By Carol Wilkins, Consultant - USICH",Article,https://www.usich.gov/resources/uploads/asset_library/working_with_hospitals_to_end_homelessness_etd.pdf,,,
Integrate Health Care - USICH,Article,https://www.usich.gov/solutions/health-care/,,,
Build Career Pathways - USICH,Article,https://www.usich.gov/solutions/jobs/,,,
Foster Education Connections - USICH,Article,https://www.usich.gov/solutions/education/,,,
Strengthen Crisis Response Systems - USICH,Article,https://www.usich.gov/solutions/crisis-response/,,,
Reduce Criminal Justice Involvement - USICH,Article,https://www.usich.gov/solutions/criminal-justice/,,,
Build Partnerships - USICH,Article,https://www.usich.gov/solutions/collaborative-leadership/,,,
