,,,,,,,,,,COLLECTIONS,,,,,,,,,,,,
ID,,TEXT,Types,Related to,Is about,Is about,Is about,Author,,,,,,,,,,,,,,
,,"The nation is currently facing one of the most severe affordable housing crises in history. Not surprisingly, those living in poverty are the most significantly affected.",Problem,Big picture,Housing,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"But by the mid-1980s, the supply of low-cost housing had shrunk significantly. Since then, rents have continued to rise and lower-income people in particular have experienced slow or stagnant wage growth..",Problem,Big picture,Housing,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"The solution to homelessness is straightforward: housing. By connecting people experiencing homelessness to housing and services, they have a platform from which they can address other areas that may have contributed to their homelessness — such as employment, health, and substance abuse.",Solution,Big picture,Housing,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"Housing model. Permanent supportive housing: Permanent supportive housing pairs long-term rental assistance with supportive services. It is targeted to individuals and families with chronic illnesses, disabilities, mental health issues, or substance use disorders who have experienced long-term or repeated homelessness.",Description,Permanent supportive housing,Housing,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"<Housing Model>. Rapid re-housing provides short-term rental assistance and services. The goals are to help people obtain housing quickly, increase self-sufficiency, and stay housed.+",Description,Rapid re-housing,Housing,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"Administered by HUD, public housing and voucher programs provide decent and safe affordable housing for low-income people and play a critical role in reducing homelessness.",Solution,Housing,,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,Housing Choice Voucher Program (commonly known as “Section 8“) has become the dominant form of federal housing assistance,Solution,Housing,,Housing vouchers ,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"The program, which provides vouchers to low-income households to help them pay for housing in the private market, has been found to sharply reduce homelessness.",Solution,Housing,,Housing vouchers ,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"Public housing is federally-funded housing that is rented at subsidized rates to eligible low-income families, the elderly, and persons with disabilities.",Description,Public housing,Housing,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"While both public housing and housing vouchers are proven to end homelessness, only one in four households that are eligible for such assistance receive it due to lack of funding.",Problem,Housing,,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"In many places across America, there is simply not enough available affordable housing. Without this housing stock, many homeless Americans are likely to continue to cycle in and out of homelessness.",Problem,Big picture,Housinh,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"The priority now must be to expand the supply of affordable housing. To do this, there is a need to increase HUD’s ability to serve and house low-income individuals.",Solution,Housing,,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"Low-income households are typically unemployed or underemployed due to a number of factors, such as a challenging labor market; limited education; a gap in work history; a criminal record; unreliable transportation or unstable housing; poor health or a disability.",Problem,Employment,,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"For those who are low-income but employed, wages have been stagnant and have not kept pace with expensive housing costs. The typical American worker has seen little to no growth in his/her weekly wages over the past three decades. Too little income combined with the dwindling availability of low-cost housing leaves many people at risk for becoming homeless.",Problem,Housing,,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,Those who are homeless face significant obstacles to finding and maintaining employment. ,Problem,Big picture,,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"Job training and placement programs, such as those funded by the federal government, also provide the tools some people need to secure stable, long-term employment",Solution,Employment,,Job training,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"Improving access to supportive services, such as childcare subsidies and transportation assistance, would also go a long way in helping people stay employed, achieve housing stability and remain housed.",Solution,Housing,,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"Many of those who experience homelessness are unable to work due to a disability, or are not able to quickly earn the money they need for rent",Fact,Big picture,,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"Some individuals may be able to receive cash assistance from Supplemental Security Income (SSI), Temporary Assistance for Needy Families (TANF) or similar programs described below.",Solution,Finance,Support,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,Health and homelessness are inextricably linked,Fact,Health,,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,An acute physical or behavioral health crisis or any long-term disabling condition may lead to homelessness,Fact,Big picture,Health,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"According to the U.S. Department of Housing and Urban Development, people living in shelters are more than twice as likely to have a disability compared to the general population.",Fact,Health,,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"(2017) 20 percent of the homeless population reported having a serious mental illness, 16 percent conditions related to chronic substance abuse",Fact,Health,,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
,,"Conditions such as diabetes, heart disease, and HIV/AIDS are found at high rates among the homeless population, sometimes three to six times higher than that of the general population.",Problem,Health,,,,The National Alliance to End Homelessness,,,,,,,,,,,,,,           
